Index	Date	Time	Monitor Status (1 = valid)	Extras	Monitor #	IGNORE	Data Type	Unused	Light Sensor	Vial 1	Vial 2	Vial 3	Vial 4	Vial 5	Vial 6	Vial 7	Vial 8	Vial 9	Vial 10	Vial 11	Vial 12		AVG						
8145	4-Aug-23	22:00:00	1	119	3	0	CT	0	0	235	249	167	236	118	168	143	143	117	0	164	300		187.3						
8265	4-Aug-23	22:30:00	1	119	3	0	CT	0	0	190	207	206	0	7	148	150	142	117	0	127	216		130.4						
8385	4-Aug-23	23:00:00	1	119	3	0	CT	0	0	219	222	145	0	141	166	137	141	93	0	142	167		142.8						
8505	4-Aug-23	23:30:00	1	119	3	0	CT	0	0	103	151	175	0	0	118	120	96	66	0	135	106		89.5						
8625	5-Aug-23	0:00:00	1	119	3	0	CT	0	0	118	167	158	0	0	101	128	124	88	0	115	178		101.9						
8745	5-Aug-23	0:30:00	1	119	3	0	CT	0	0	126	134	162	0	74	138	79	99	66	0	118	33		86.7						
8865	5-Aug-23	1:00:00	1	119	3	0	CT	0	0	91	137	203	0	51	120	149	105	104	0	90	143		99						
8985	5-Aug-23	1:30:00	1	119	3	0	CT	0	0	29	151	201	0	2	94	45	66	71	0	88	72		61.8						
9105	5-Aug-23	2:00:00	1	119	3	0	CT	0	0	72	181	174	0	0	108	84	14	88	0	68	143		75.8						
9225	5-Aug-23	2:30:00	1	119	3	0	CT	0	0	124	116	165	0	28	40	90	2	85	0	113	94		69.2						
9345	5-Aug-23	3:00:00	1	119	3	0	CT	0	0	108	138	166	0	6	18	41	44	125	0	109	69		65.8						
9465	5-Aug-23	3:30:00	1	119	3	0	CT	0	0	29	123	172	0	0	111	39	17	103	0	15	1		43.8						
9585	5-Aug-23	4:00:00	1	119	3	0	CT	0	0	0	81	144	0	62	64	69	83	118	0	8	43		52.8						
9705	5-Aug-23	4:30:00	1	119	3	0	CT	0	0	129	135	155	27	41	55	19	58	51	0	0	52		56.7						
9825	5-Aug-23	5:00:00	1	119	3	0	CT	0	0	7	86	124	45	32	62	18	81	49	0	19	37		43.6						
9945	5-Aug-23	5:30:00	1	119	3	0	CT	0	0	86	54	171	71	26	0	6	3	29	0	43	71		38.9						
10065	5-Aug-23	6:00:00	1	119	3	0	CT	0	0	84	30	139	76	2	38	8	0	55	0	61	4		35.8						
10185	5-Aug-23	6:30:00	1	119	3	0	CT	0	0	98	109	164	136	7	83	76	65	56	0	95	96		82.1						
10305	5-Aug-23	7:00:00	1	119	3	0	CT	0	0	19	30	157	0	34	0	0	0	24	0	22	0		12.9						
10425	5-Aug-23	7:30:00	1	119	3	0	CT	0	0	59	51	121	0	22	30	28	39	59	0	27	48		36.3						
10545	5-Aug-23	8:00:00	1	119	3	0	CT	0	0	55	12	106	0	34	0	0	0	38	0	0	14		15.3						
10665	5-Aug-23	8:30:00	1	119	3	0	CT	0	0	32	0	145	0	53	34	22	63	71	0	2	24		30.1						
10785	5-Aug-23	9:00:00	1	119	3	0	CT	0	0	21	6	116	0	8	6	42	22	50	0	2	44		20.1						
10905	5-Aug-23	9:30:00	1	119	3	0	CT	0	1	188	46	166	12	44	165	101	139	131	0	118	227		117.1						
11025	5-Aug-23	10:00:00	1	119	3	0	CT	0	1	179	30	130	65	5	164	39	13	53	0	46	192		78.6						
11145	5-Aug-23	10:30:00	1	119	3	0	CT	0	1	142	14	116	53	0	138	2	15	43	0	4	19		43						
11265	5-Aug-23	11:00:00	1	119	3	0	CT	0	1	11	0	118	0	0	26	0	0	83	0	23	0		14.3						
11385	5-Aug-23	11:30:00	1	119	3	0	CT	0	1	100	0	128	52	0	18	18	34	73	0	56	39		39						
11505	5-Aug-23	12:00:00	1	119	3	0	CT	0	1	61	158	81	12	0	13	73	25	108	0	53	25		52.8						
11625	5-Aug-23	12:30:00	1	119	3	0	CT	0	1	145	5	101	69	0	43	96	43	98	0	5	38		54.2						
11745	5-Aug-23	13:00:00	1	119	3	0	CT	0	1	158	20	135	56	0	21	48	15	95	0	9	1		42.3						
11865	5-Aug-23	13:30:00	1	119	3	0	CT	0	1	53	76	144	23	0	77	12	1	183	0	137	18		58						
11985	5-Aug-23	14:00:00	1	119	3	0	CT	0	1	75	53	141	20	0	144	48	37	189	0	116	33		71.5						
12105	5-Aug-23	14:30:00	1	119	3	0	CT	0	1	69	193	150	6	0	172	115	0	86	0	30	142		81.3						
12225	5-Aug-23	15:00:00	1	119	3	0	CT	0	1	192	192	185	9	0	113	71	86	128	0	81	8		88						
12345	5-Aug-23	15:30:00	1	119	3	0	CT	0	1	69	26	172	23	0	142	168	125	115	0	43	143		85.4						
12465	5-Aug-23	16:00:00	1	119	3	0	CT	0	1	139	148	139	44	0	123	145	68	148	0	152	12		97.9						
12585	5-Aug-23	16:30:00	1	119	3	0	CT	0	1	103	127	160	10	0	74	129	97	99	0	49	56		74.4						
12705	5-Aug-23	17:00:00	1	119	3	0	CT	0	1	150	126	159	54	0	127	135	91	108	0	145	134		107						
12825	5-Aug-23	17:30:00	1	119	3	0	CT	0	1	118	46	179	13	0	97	135	73	111	0	70	72		73.5						
12945	5-Aug-23	18:00:00	1	119	3	0	CT	0	1	105	115	149	18	0	102	158	116	109	0	94	77		89.4						
13065	5-Aug-23	18:30:00	1	119	3	0	CT	0	1	132	87	136	81	0	94	95	68	114	0	166	58		89.5						
13185	5-Aug-23	19:00:00	1	119	3	0	CT	0	1	172	81	132	56	0	103	117	93	131	0	125	111		98.9						
13305	5-Aug-23	19:30:00	1	119	3	0	CT	0	1	161	125	127	0	0	119	94	78	128	0	87	102		89.4						
13425	5-Aug-23	20:00:00	1	119	3	0	CT	0	1	106	169	178	13	0	126	74	91	138	0	104	90		91.1						
13545	5-Aug-23	20:30:00	1	119	3	0	CT	0	1	142	42	142	6	0	116	63	126	94	0	82	78		74.9						
13665	5-Aug-23	21:00:00	1	119	3	0	CT	0	1	131	81	123	12	0	129	59	82	127	0	119	95		83.5						
